source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'ReadWrite'}",Radek Zielinski,"Bitcoin lifted over $71,000 as UK’s FCA approves crypto ETNs","During the Asian trading session on Monday, Bitcoin (BTC) soared past $71,000 for the first time in history. This surge… Continue reading Bitcoin lifted over $71,000 as UK’s FCA approves crypto ETNs
The post Bitcoin lifted over $71,000 as UK’s FCA approves cr…",https://readwrite.com/bitcoin-lifted-over-71000-as-uks-fca-approves-crypto-etns/,https://readwrite.com/wp-content/uploads/2024/03/yAqI9QlFReGdutRddL3VzQ.png,2024-03-11T17:46:21Z,"During the Asian trading session on Monday, Bitcoin (BTC) soared past $71,000 for the first time in history.
This surge comes on the heels of the U.S.’s approval of spot Bitcoin spot exchange-traded… [+2051 chars]"
"{'id': None, 'name': 'ReadWrite'}",Radek Zielinski,El Salvador gained $84M from Bitcoin holdings,"El Salvador’s Bitcoin (BTC) holdings have yielded an unrealized profit of $84 million, with the treasury’s value increasing by 69%… Continue reading El Salvador gained $84M from Bitcoin holdings
The post El Salvador gained $84M from Bitcoin holdings appeared …",https://readwrite.com/el-salvador-gained-84m-from-bitcoin-holdings/,https://readwrite.com/wp-content/uploads/2024/03/d464b5cf-a07f-47dd-aefa-a09ec69e9d66.webp,2024-03-12T13:23:25Z,"El Salvador’s Bitcoin (BTC) holdings have yielded an unrealized profit of $84 million, with the treasury’s value increasing by 69% to over $206 million due to Bitcoin’s 250% appreciation over the pas… [+1899 chars]"
"{'id': None, 'name': 'ReadWrite'}",Radek Zielinski,"Bitcoin flash crashes to $8,900 on BitMEX","Bitcoin (BTC) experienced a sudden drop to $8,900 on BitMEX, deviating significantly from its stable $60,000+ valuation on other exchanges.… Continue reading Bitcoin flash crashes to $8,900 on BitMEX
The post Bitcoin flash crashes to $8,900 on BitMEX appeared…",https://readwrite.com/bitcoin-flash-crashes-to-8900-on-bitmex/,https://readwrite.com/wp-content/uploads/2024/03/bitcoinflashcrash.jpg,2024-03-19T14:59:18Z,"Bitcoin (BTC) experienced a sudden drop to $8,900 on BitMEX, deviating significantly from its stable $60,000+ valuation on other exchanges.
On a late Monday, Bitcoin experienced a swift downturn, dr… [+2214 chars]"
"{'id': None, 'name': 'ReadWrite'}",Radek Zielinski,Nasdaq’s Bitcoin ETFs break five-day outflow streak with $15.4M boost,"On Monday, Nasdaq-traded spot Bitcoin (BTC) exchange-traded funds (ETFs) witnessed an inflow of $15.4 million, marking a positive shift after… Continue reading Nasdaq’s Bitcoin ETFs break five-day outflow streak with $15.4M boost
The post Nasdaq’s Bitcoin ETF…",https://readwrite.com/nasdaqs-bitcoin-etfs-break-five-day-outflow-streak-with-15-4m-boost/,https://readwrite.com/wp-content/uploads/2024/03/sRVLagdvTLSPSVK2Wb7dBA.png,2024-03-26T14:20:47Z,"On Monday, Nasdaq-traded spot Bitcoin (BTC) exchange-traded funds (ETFs) witnessed an inflow of $15.4 million, marking a positive shift after five consecutive days of outflows, according to prelimina… [+1664 chars]"
"{'id': None, 'name': 'ReadWrite'}",Radek Zielinski,Bitcoin ETF daily inflows breaks $1B,"The United States recently approved spot Bitcoin (BTC) exchange-traded funds (ETFs), which experienced another day of record-breaking inflows on March… Continue reading Bitcoin ETF daily inflows breaks $1B
The post Bitcoin ETF daily inflows breaks $1B appeare…",https://readwrite.com/bitcoin-etf-daily-inflows-breaks-1b/,https://readwrite.com/wp-content/uploads/2024/03/2at7RvbmQ9mXqGyaKKPWug.png,2024-03-13T16:58:49Z,"The United States recently approved spot Bitcoin (BTC) exchange-traded funds (ETFs), which experienced another day of record-breaking inflows on March 12.
Data gathered from BitMEX Research shows th… [+1671 chars]"
"{'id': None, 'name': 'ReadWrite'}",James Spillane,Bitcoin Price Prediction – Is The Biggest Crash Of All Time Coming?,"The Bitcoin price has risen exponentially since the fourth financial quarter of 2023, up 163% from the start of October… Continue reading Bitcoin Price Prediction – Is The Biggest Crash Of All Time Coming?
The post Bitcoin Price Prediction – Is The Biggest Cr…",https://readwrite.com/bitcoin-price-prediction-is-the-biggest-crash-of-all-time-coming/,https://readwrite.com/wp-content/uploads/2024/03/bitcoin-price-crash.jpg,2024-03-20T16:48:25Z,"The Bitcoin price has risen exponentially since the fourth financial quarter of 2023, up 163% from the start of October last year. 
If the Bitcoin price closes the month of March over $61,157, it wo… [+4836 chars]"
"{'id': None, 'name': 'ReadWrite'}",Sam Shedden,Bitcoin endures biggest daily price drop since FTX crash,"The price of Bitcoin (BTC) dropped drastically on Tuesday (Mar 19), when it registered its biggest single-day loss since the… Continue reading Bitcoin endures biggest daily price drop since FTX crash
The post Bitcoin endures biggest daily price drop since FTX…",https://readwrite.com/bitcoin-endures-biggest-daily-price-drop-since-ftx-crash/,https://readwrite.com/wp-content/uploads/2024/03/Bitcoinfall.png,2024-03-20T10:53:55Z,"The price of Bitcoin (BTC) dropped drastically on Tuesday (Mar 19), when it registered its biggest single-day loss since the infamous collapse of the FTX exchange in November 2022.
According to data… [+2252 chars]"
"{'id': None, 'name': 'ReadWrite'}",Radek Zielinski,Grayscale’s Bitcoin ETF sees $359m daily outflow,"The Grayscale Bitcoin Trust (GBTC) experienced significant withdrawals, with $359 million leaving the fund on Thursday (Mar 21). Those outflows… Continue reading Grayscale’s Bitcoin ETF sees $359m daily outflow
The post Grayscale’s Bitcoin ETF sees $359m dail…",https://readwrite.com/grayscales-bitcoin-etf-sees-359m-daily-outflow/,https://readwrite.com/wp-content/uploads/2024/03/3-Ndb1f1SiWyzebvNUMprg.jpg,2024-03-22T15:51:17Z,"The Grayscale Bitcoin Trust (GBTC) experienced significant withdrawals, with $359 million leaving the fund on Thursday (Mar 21).
Those outflows come on the heels of a week of heavy withdrawals, culm… [+3589 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Emily Stewart,Bitcoin will keep going boom and bust until we all die,"Investors are stuck in a perpetual boom-and-bust cycle where they put money into bitcoin every few years, only to get burned by a price crash.",https://www.businessinsider.com/bitcoin-all-time-high-etfs-crypto-price-crash-boom-bust-2024-3,https://i.insider.com/65e78a5790413ab8e1d97e2e?width=1200&format=jpeg,2024-03-06T10:47:01Z,"Bitcoin investors are stuck in a perpetual boom-and-bust cycle where they get back on the bitcoin horse every few years only to get burned.Getty Images; Alyssa Powell/BI
Bitcoin's been back on the u… [+7318 chars]"
"{'id': None, 'name': 'ReadWrite'}",Sophie Atkinson,"Bitcoin price surges beyond $65,000 as records beckon","Bitcoin has reached a two-year high today (Monday 4 March) as it jumped to above $65,000 in the early hours […]
The post Bitcoin price surges beyond $65,000 as records beckon appeared first on ReadWrite.",https://readwrite.com/bitcoin-bounces-beyond-65000-as-records-beckon/,https://readwrite.com/wp-content/uploads/2024/03/pierre-borthiry-peiobty-vBCVcWUyvyM-unsplash-scaled.jpg,2024-03-04T11:42:29Z,"Bitcoin has reached a two-year high today (Monday 4 March) as it jumped to above $65,000 in the early hours in Europe.
Monday (Mar. 4) has seen the price rise to $65,537 which is the crypto assets h… [+1548 chars]"
"{'id': None, 'name': 'ReadWrite'}",Suswati Basu,"Bitcoin price: crypto market hits record high, first time since 2021","For the first time since November 2021, the price of Bitcoin has surged past $60,000, setting new record highs in […]
The post Bitcoin price: crypto market hits record high, first time since 2021 appeared first on ReadWrite.",https://readwrite.com/bitcoin-price-crypto-market-hits-record-high-first-time-since-2021/,https://readwrite.com/wp-content/uploads/2024/03/Bitcoin-price-crypto-market-hits-record-high-first-time-since-2021-900x600.png,2024-03-01T17:18:11Z,"For the first time since November 2021, the price of Bitcoin has surged past $60,000, setting new record highs in local currencies across numerous global markets.
The Bitcoin price rose to $63,968 o… [+2940 chars]"
"{'id': None, 'name': 'ReadWrite'}",Sophie Atkinson,Bitcoin and gold prices shatter previous highs,"The ultra-modern and traditional markets coincided on Mar 5, as both Bitcoin and gold saw record-breaking highs occur on the […]
The post Bitcoin and gold prices shatter previous highs appeared first on ReadWrite.",https://readwrite.com/bitcoin-and-gold-prices-shatter-previous-highs/,https://readwrite.com/wp-content/uploads/2024/03/p2fOhXKdQPqdhr0tbXdxTQ.png,2024-03-06T16:23:20Z,"The ultra-modern and traditional markets coincided on Mar 5, as both Bitcoin and gold saw record-breaking highs occur on the same day.
In the early hours in Europe on Monday 4 March, Bitcoin jumped … [+1785 chars]"
"{'id': None, 'name': 'ReadWrite'}",Sam Shedden,Coinbase crashed as Bitcoin soared to record high,"Angry Coinbase users slammed the cryptocurrency trading app after it crashed again on Tuesday (Mar.5), the same day Bitcoin hit […]
The post Coinbase crashed as Bitcoin soared to record high appeared first on ReadWrite.",https://readwrite.com/coinbase-crashed-as-bitcoin-soared-to-record-high/,https://readwrite.com/wp-content/uploads/2024/03/NfPvWsHYT8e0fGymX9HfZQ.png,2024-03-06T10:44:24Z,"Angry Coinbase users slammed the cryptocurrency trading app after it crashed again on Tuesday (Mar.5), the same day Bitcoin hit a new all-time high price of $69,000 after over two years of waiting.
… [+2292 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",Dan DeFrancesco,It's sentencing day for Sam Bankman-Fried,"Bitcoin is booming, but a piece of its darker past is back in the spotlight.",https://www.businessinsider.com/insider-today-sam-bankman-fried-ftx-bitcoin-prison-sentencing-cryptocurrency-2024-3,https://i.insider.com/653aeece356802a56be57380?width=1200&format=jpeg,2024-03-28T14:20:11Z,"Sam Bankman-Fried.Chelsea Jia Feng/Insider.
<ul><li>This post originally appeared in the Insider Today newsletter.</li><li>You can sign up for Business Insider's daily newsletter here.</li></ul>Hi! … [+6913 chars]"
"{'id': None, 'name': 'ReadWrite'}",Sam Shedden,This movie streaming platform is accepting Bitcoin,"In a ground-breaking step for the streaming industry, Movies Plus has become the “first streaming platform” to allow subscribers to… Continue reading This movie streaming platform is accepting Bitcoin
The post This movie streaming platform is accepting Bitcoi…",https://readwrite.com/this-movie-streaming-platform-is-accepting-bitcoin/,https://readwrite.com/wp-content/uploads/2024/03/Bitcoinmovies.png,2024-03-15T11:56:21Z,"In a ground-breaking step for the streaming industry, Movies Plus has become the “first streaming platform” to allow subscribers to pay for their service using Bitcoin.
The free movie streaming app … [+1433 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",George Glover,Bitcoin's been sliding ahead of the 'halving' — but crypto bulls aren't worried,"Crypto bulls are confident that a looming ""halving"" event could power bitcoin to new highs, despite the coin's recent declines.",https://markets.businessinsider.com/news/currencies/bitcoin-price-halving-halvening-event-crypto-market-analysis-ethereum-solana-2024-3,https://i.insider.com/65fc056f2417f97b87cdf7ce?width=1200&format=jpeg,2024-03-21T10:15:17Z,"Getty Images
<ul>
<li>Bitcoin hit a new record high last week, but has since lost ground.</li>
<li>Profit-taking could be fueling the sell-off, which has also hit other tokens like ether and solana.… [+3285 chars]"
"{'id': None, 'name': 'Hipertextual'}",Gabriel Erard,Bitcoin supera los 69.000 dólares y alcanza un nuevo máximo histórico,"Poco más de 2 años después de su anterior All-Time High (ATH), Bitcoin ha alcanzado un nuevo valor máximo histórico. La criptomoneda ha ratificado su corrida alcista y este martes ha vuelto a superar los 69.000 dólares para, brevemente, establecer el registro…",http://hipertextual.com/2024/03/bitcoin-nuevo-maximo-historico,https://imgs.hipertextual.com/wp-content/uploads/2024/02/michael-fortsch-4GD_5kMZmY8-unsplash-scaled.jpg,2024-03-05T15:55:07Z,"Poco más de 2 años después de su anterior All-Time High (ATH), Bitcoin ha alcanzado un nuevo valor máximo histórico. La criptomoneda ha ratificado su corrida alcista y este martes ha vuelto a superar… [+1422 chars]"
"{'id': None, 'name': 'Slashdot.org'}",msmash,"Craig Wright Is Not Bitcoin Creator Satoshi Nakamoto, Judge Declares","A judge in the UK High Court has declared that Australian computer scientist Craig Wright is not Satoshi Nakamoto, the creator of Bitcoin, marking the end of a years-long debate. From a report: ""The evidence is overwhelming,"" said Honourable Mr. Justice James…",https://slashdot.org/story/24/03/14/1428252/craig-wright-is-not-bitcoin-creator-satoshi-nakamoto-judge-declares,https://a.fsdn.com/sd/topics/bitcoin_64.png,2024-03-14T14:41:00Z,"""The evidence is overwhelming,"" said Honourable Mr. Justice James Mellor, delivering a surprise ruling at the close of the trial. ""Dr. Wright is not the author of the Bitcoin white paper. Dr. Wright … [+766 chars]"
"{'id': None, 'name': 'Slashdot.org'}",msmash,Bitcoin 'Halving' Spurs Exodus of Old US Mining Computers Abroad,"An anonymous reader shares a report: About 6,000 older Bitcoin mining machines in the US will soon be idled and sent to a warehouse in Colorado Springs where they'll be refreshed and resold to buyers overseas looking to profit from mining in lower-cost enviro…",https://it.slashdot.org/story/24/03/25/1645212/bitcoin-halving-spurs-exodus-of-old-us-mining-computers-abroad,https://a.fsdn.com/sd/topics/bitcoin_64.png,2024-03-25T18:41:00Z,"About 6,000 older Bitcoin mining machines in the US will soon be idled and sent to a warehouse in Colorado Springs where they'll be refreshed and resold to buyers overseas looking to profit from mini… [+1424 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}","Matt Turner,Jordan Parker Erb",First it was warehouses taking over America. Now it's data centers.,"In Sunday's edition of Insider Today: Bitcoin is here to stay, and the first wave of ""walking-dead"" venture firms is here.",https://www.businessinsider.com/insider-today-warehouses-data-centers-bitcoin-walking-dead-venture-firms-2024-3,https://i.insider.com/65edc1f0ce7f1785b2e84d57?width=1200&format=jpeg,2024-03-10T14:24:18Z,"Alvarez/Getty Images
<ul><li>This post originally appeared in the Insider Today newsletter.</li><li>You can sign up for Business Insider's daily newsletter here.</li></ul>Welcome back to our Sunday … [+4478 chars]"
"{'id': None, 'name': 'ReadWrite'}",Graeme Hanna,SEC delays decision on Bitcoin trading options for ETFs,"The United States Securities and Exchange Commission has delayed its decision on whether to approve the trading of options on… Continue reading SEC delays decision on Bitcoin trading options for ETFs
The post SEC delays decision on Bitcoin trading options for…",https://readwrite.com/sec-delays-decision-on-bitcoin-trading-options-for-etfs/,https://readwrite.com/wp-content/uploads/2024/03/CCs5HZeeR6ix-lOB3K1HWA.png,2024-03-08T14:29:25Z,"The United States Securities and Exchange Commission has delayed its decision on whether to approve the trading of options on exchange-traded funds (ETFs) that invest directly in Bitcoin.
The openin… [+2417 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",gglover@insider.com (George Glover),Bitcoin is about to undergo another 'halving' event - here's what that means,Previous halvings have powered the cryptocurrency higher because they reduce the supply of new tokens in circulation.,https://markets.businessinsider.com/news/currencies/bitcoin-halving-event-cryptocurrency-new-all-time-high-halvening-explained-2024-3,https://i.insider.com/65e88f1290413ab8e1d9ae64?width=1200&format=jpeg,2024-03-09T09:31:01Z,"2024 has been a big year for bitcoin.
In January, the Securities and Exchange Commission finally gave its seal of approval to 11 spot ETFs after months of speculation.
The following month, the toke… [+2725 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",George Glover,Bitcoin and gold are both on fire right now — but for very different reasons,"The leading cryptocurrency and the precious metal are both on winning streaks, but analysts say their simultaneous rises are something of a coincidence.",https://markets.businessinsider.com/news/currencies/bitcoin-gold-record-highs-halving-crypto-etf-inflation-federal-reserve-2024-3,https://i.insider.com/65f0565fce7f1785b2e8c2a2?width=1200&format=jpeg,2024-03-13T09:35:57Z,"Bitcoin is trading above $73,000.Business Insider
<ul>
<li>Bitcoin and gold have both been hitting new record highs.</li>
<li>The cryptocurrency is surging following SEC approval of spot ETFs and a … [+3951 chars]"
"{'id': 'wired', 'name': 'Wired'}","Dhruv Mehrotra, Andrew Couts",Security News This Week: Russian Hackers Stole Microsoft Source Code—and the Attack Isn’t Over,"Plus: An ex-Google engineer gets arrested for allegedly stealing trade secrets, hackers breach the top US cybersecurity agency, and X’s new feature exposes sensitive user data.",https://www.wired.com/story/russia-hackers-microsoft-source-code/,"https://media.wired.com/photos/65eb4c36b7cb6be700970ab7/191:100/w_1280,c_limit/Security-Roundup-Microsoft-Russian-Hackers-GettyImages-1913821927.jpg",2024-03-09T14:00:00Z,"For years, Registered Agents Inc.a secretive company whose business is setting up other businesseshas registered thousands of companies to people who appear to not exist. Multiple former employees te… [+3299 chars]"
"{'id': 'wired', 'name': 'Wired'}",Anna Merlan,"Robert F. Kennedy Jr. Targets a Generation of Politically Disaffected, Extremely Online Men","In a campaign that increasingly reflects a late night TikTok scroll, Robert F. Kennedy Jr. is gathering celebrities and influencers that appeal to a young male base.",https://www.wired.com/story/robert-f-kennedy-jr-aaron-rodgers-male-vote/,"https://media.wired.com/photos/65f2ff1a9f86ee0288b77cdf/191:100/w_1280,c_limit/politics_rfk-jr-masculine-online-votes.jpg",2024-03-14T13:53:41Z,"In his continued quest to become either the president of the United States or else a very interesting footnote to someone elses reelection, Robert F. Kennedy Jr. has enlisted a number of celebrities … [+3401 chars]"
"{'id': None, 'name': 'ReadWrite'}",Radek Zielinski,"Coinbase pitched Grayscale’s ETH ETF to the SEC, filings show","United States-based publicly traded cryptocurrency exchange Coinbase met with the Securities and Exchange Commission (SEC) to discuss the Ethereum (ETH)… Continue reading Coinbase pitched Grayscale’s ETH ETF to the SEC, filings show
The post Coinbase pitched …",https://readwrite.com/coinbase-pitched-grayscales-eth-etf-to-the-sec-filings-show/,https://readwrite.com/wp-content/uploads/2024/03/AluhS-stTquaBFNeakUuQA.png,2024-03-11T17:30:51Z,United States-based publicly traded cryptocurrency exchange Coinbase met with the Securities and Exchange Commission (SEC) to discuss the Ethereum (ETH) exchange-traded fund (ETF) proposed by asset m… [+2567 chars]
"{'id': None, 'name': 'ReadWrite'}",Brian-Damien Morgan,"Crypto: Coinbase Files to list DOGE, LTC and BCH","Coinbase Exchange has filed to list Litecoin (LTC), Bitcoin Cash (BCH), and Dogecoin futures trading with the Commodity Futures Trading… Continue reading Crypto: Coinbase Files to list DOGE, LTC and BCH
The post Crypto: Coinbase Files to list DOGE, LTC and BC…",https://readwrite.com/crypto-coinbase-files-to-list-doge-ltc-and-bch/,https://readwrite.com/wp-content/uploads/2024/03/pexels-karolina-grabowska-5980596-scaled.jpg,2024-03-21T17:54:09Z,"Coinbase Exchange has filed to list Litecoin (LTC), Bitcoin Cash (BCH), and Dogecoin futures trading with the Commodity Futures Trading Commission (CFTC).
The CFTC has not yet responded officially t… [+2015 chars]"
"{'id': None, 'name': 'NPR'}",Alina Selyukh,"Bad news, chocolate lovers: Cocoa prices have risen faster than bitcoin","It's been a wild historic ride: The price of cocoa topped the all-time record before Valentine's Day and has almost doubled since then, in time for Easter. The culprit is the weather.",https://www.npr.org/2024/03/29/1240947073/cocoa-price-chocolate-kitkat-hershey,https://media.npr.org/assets/img/2024/03/28/ap20101410900586_wide-052ddb8f70634cec7defa48f3c7c4a00afa50374-s1400-c100.jpg,2024-03-29T09:01:15Z,"Chocolate Easter bunnies wait to be decorated at a shop in Belgium.
Virginia Mayo/AP
Cocoa prices are going nuts: The bean is now more valuable than several precious metals and has surged faster th… [+5029 chars]"
"{'id': None, 'name': 'Slashdot.org'}",BeauHD,"Crypto Miner, Pennsylvania Hit With Lawsuit Over Pollution From Bitcoin Mine",An anonymous reader quotes a report from Reuters: An environmental community group on Tuesday sued Stronghold Digital Mining claiming the company's bitcoin mine in northeastern Pennsylvania that burns waste coal and old tires for energy is polluting nearby co…,https://slashdot.org/story/24/03/27/0130229/crypto-miner-pennsylvania-hit-with-lawsuit-over-pollution-from-bitcoin-mine,https://a.fsdn.com/sd/topics/bitcoin_64.png,2024-03-27T03:30:00Z,The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.
"{'id': 'business-insider', 'name': 'Business Insider'}",Kenneth Niemeyer,Cocoa prices are rising so fast they are outpacing bitcoin — just in time for Easter,"Cocoa prices are skyrocketing. They've doubled in 2024 so far, leading to a potential rise in Easter chocolate costs this year.",https://www.businessinsider.com/easter-chocolate-expensive-price-of-cocoa-bitcoin-2024-3,https://i.insider.com/65ff282316bde8d4ead18e1e?width=1200&format=jpeg,2024-03-23T19:47:55Z,"Easter candy.Getty Images
<ul><li>Cocoa prices have nearly doubled in 2024 and are outpacing bitcoin in the last 12 months.</li><li>Rising cocoa costs may drive up Easter chocolate prices.</li><li>H… [+1335 chars]"
